Unnamed: 0,Price_x,INDPRO,CPI,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,GDP,Rate,BBK_Index,Housing_Index,Recession,year_month
0,0.0071113756825752,0.0468555985684024,0.0,1.0,0.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.995788206979543,0.9812348668280868,0.0,0.957474226804124,0.0,0.9963592233009708,0.4639800818094743,0.0081608322933953,0,1990-4
1,0.0098748755051343,0.0511398911693814,0.0011828230437584,0.9962640099626402,0.0,0.9914582062233068,0.9849578820697956,0.987719298245614,0.986549707602339,0.9982185273159144,0.9939831528279184,0.9769975786924936,0.0,0.9536082474226804,0.0,0.9866504854368934,0.4490888769497816,0.0092672404550853,0,1990-5
2,0.0121964901033736,0.055857862829596,0.0059141152187927,0.9937733499377336,0.0,0.9762050030506404,0.9675090252707582,0.9625730994152046,0.9637426900584796,0.9691211401425176,0.9687123947051748,0.950363196125908,0.0,0.9265463917525776,0.0,1.0000000000000002,0.4225054897499503,0.0101592284304012,0,1990-6
3,0.0121140659164539,0.0534749105251626,0.0094625843500683,0.9763387297633872,0.0,0.9603416717510675,0.943441636582431,0.9380116959064329,0.9461988304093566,0.9560570071258906,0.9614921780986764,0.9515738498789345,0.0,0.934278350515464,0.0027301069622286,0.9830097087378644,0.39746584383079,0.0103950906354127,0,1990-7
4,0.0054102320469817,0.058642538894164,0.0159681110907402,0.957658779576588,0.0,0.9395973154362416,0.927797833935018,0.9309941520467836,0.943859649122807,0.9714964370546316,0.9855595667870038,0.9878934624697334,0.0,0.9858247422680414,0.0027301069622286,0.9805825242718448,0.3735838832164403,0.0100477299334867,1,1990-8
5,0.0018980458599017,0.0590967606456795,0.0212908147876537,0.9464508094645082,0.0,0.9359365466748016,0.9265944645006018,0.9298245614035088,0.9473684210526316,0.9762470308788598,1.0000000000000002,1.0,0.0,1.0,0.0027301069622286,0.9890776699029128,0.3884361516967158,0.0089713405978892,1,1990-9
6,0.0,0.0501949273245196,0.0266135184845671,0.9196762141967622,0.0,0.9139719341061624,0.904332129963899,0.908187134502924,0.9239766081871342,0.9548693586698336,0.9777376654632975,0.9782082324455202,0.0,0.9768041237113404,0.0022155357200557,0.9781553398058254,0.4039036964671394,0.0076162050200053,1,1990-10
7,0.0018705711309285,0.0324163684172083,0.0283877530502048,0.9072229140722292,0.0,0.8962782184258694,0.8754512635379063,0.8760233918128655,0.883625730994152,0.9192399049881234,0.9368231046931412,0.9364406779661016,0.0,0.934278350515464,0.0022155357200557,0.941747572815534,0.4457061211334825,0.0053390626407132,1,1990-11
8,0.0049523198974276,0.0225284858666277,0.0313448106596011,0.8717310087173101,0.0,0.8541793776693105,0.841756919374248,0.839766081871345,0.8532163742690058,0.8853919239904986,0.9055354993983156,0.9013317191283292,0.0,0.898840206185567,0.0022155357200557,0.8810679611650487,0.4713906544780694,0.0035851055161736,1,1990-12
9,0.0042059230936544,0.0179451829669126,0.0343018682689975,0.7920298879202989,0.0,0.7943868212324587,0.7894103489771361,0.8210526315789474,0.8444444444444443,0.8800475059382421,0.8989169675090254,0.9007263922518158,0.0,0.89819587628866,0.0037243599007312,0.8325242718446604,0.4926448878478386,0.0017024962798097,1,1991-1
10,0.0126246379632067,0.0078815462712731,0.0348932797908768,0.7596513075965132,0.0,0.75045759609518,0.7448856799037306,0.7847953216374269,0.8081871345029239,0.8503562945368169,0.8712394705174491,0.8740920096852298,0.0,0.8711340206185568,0.0037243599007312,0.7524271844660195,0.5273642540716319,0.0004803012174777,1,1991-2
11,0.0149187778324728,0.0,0.0348932797908768,0.7540473225404732,0.0,0.74862721171446,0.7623345367027679,0.8204678362573099,0.8415204678362573,0.8907363420427551,0.907942238267148,0.907384987893462,0.0,0.9059278350515464,0.0037243599007312,0.7366504854368934,0.5215251482489182,0.0,1,1991-3
12,0.016613052785823,0.0036269264480315,0.0366675143565146,0.7222914072229142,0.0,0.7248322147651007,0.7436823104693142,0.7988304093567252,0.8269005847953216,0.8812351543942991,0.8989169675090254,0.8983050847457624,0.0,0.8969072164948456,0.0082681285386374,0.7111650485436894,0.4843395334211481,0.0007676242672189,0,1991-4
13,0.0162261170194498,0.0173517274121686,0.0396245719659109,0.7004981320049813,0.0,0.712019524100061,0.7316486161251505,0.7847953216374269,0.8140350877192982,0.8806413301662707,0.9001203369434417,0.9013317191283292,0.0,0.9039948453608248,0.0082681285386374,0.6953883495145633,0.4585574584346201,0.0027102711557676,0,1991-5
14,0.0162948038418829,0.0286273829523044,0.041990218053428,0.7141967621419677,0.0,0.7297132397803537,0.7611311672683515,0.804093567251462,0.8497076023391812,0.9133016627078384,0.9302045728038508,0.929782082324455,0.0,0.931056701030928,0.0082681285386374,0.7099514563106798,0.4440185243811869,0.0047901469635956,0,1991-6
15,0.0167389786269504,0.0323227850412679,0.0431730410971865,0.715442092154421,0.0,0.7236119585112873,0.7521058965102287,0.7953216374269005,0.8456140350877192,0.9085510688836104,0.9253910950661856,0.926150121065375,0.0,0.9265463917525776,0.0121870075692472,0.7002427184466021,0.4317497527888992,0.0059222855476505,0,1991-7
16,0.0188385058326559,0.0326195128186399,0.0455386871847036,0.6811955168119553,0.0,0.6809029896278218,0.6919374247894104,0.7397660818713451,0.7730994152046783,0.8473871733966744,0.8742478941034899,0.8795399515738497,0.0,0.885953608247423,0.0121870075692472,0.6808252427184467,0.4316600157132119,0.0062524926346664,0,1991-8
